filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
5,Artificial_appearing-clusters_3_appearing-clustersperiodic_aobhs_uob.csv,30101,63999,5880,20,0.8366,0.9993,0.9107,0.9993,0.9159,0.9567
5,Artificial_appearing-clusters_3_appearing-clusterssudden_aobhs_uob.csv,29780,58113,11841,266,0.7155,0.9911,0.8311,0.9911,0.8307,0.9074
5,Artificial_appearing-clusters_4_appearing-clustersincremental_aobhs_uob.csv,39601,50254,9765,380,0.8022,0.9905,0.8865,0.9905,0.8373,0.9107
5,Artificial_appearing-clusters_4_appearing-clustersperiodic_aobhs_uob.csv,39929,55091,4942,38,0.8899,0.999,0.9413,0.999,0.9177,0.9575
5,Artificial_appearing-clusters_4_appearing-clusterssudden_aobhs_uob.csv,39482,49434,10612,472,0.7882,0.9882,0.8769,0.9882,0.8233,0.902
5,Artificial_appearing-minority_1_appearing-minorityincremental_aobhs_uob.csv,4479,85918,9212,391,0.3271,0.9197,0.4826,0.9197,0.9032,0.9114
5,Artificial_appearing-minority_1_appearing-minorityperiodic_aobhs_uob.csv,424,88924,10576,76,0.0385,0.848,0.0737,0.848,0.8937,0.8706
5,Artificial_appearing-minority_1_appearing-minoritysudden_aobhs_uob.csv,4480,85510,9588,422,0.3185,0.9139,0.4723,0.9139,0.8992,0.9065
5,Artificial_appearing-minority_2_appearing-minorityincremental_aobhs_uob.csv,9572,81647,8488,293,0.53,0.9703,0.6856,0.9703,0.9058,0.9375
5,Artificial_appearing-minority_2_appearing-minorityperiodic_aobhs_uob.csv,960,89000,9929,111,0.0882,0.8964,0.1605,0.8964,0.8996,0.898
5,Artificial_appearing-minority_2_appearing-minoritysudden_aobhs_uob.csv,9530,79909,10160,401,0.484,0.9596,0.6435,0.9596,0.8872,0.9227
5,Artificial_appearing-minority_3_appearing-minorityincremental_aobhs_uob.csv,14678,76670,8312,340,0.6385,0.9774,0.7724,0.9774,0.9022,0.939
5,Artificial_appearing-minority_3_appearing-minorityperiodic_aobhs_uob.csv,1357,88981,9547,115,0.1244,0.9219,0.2193,0.9219,0.9031,0.9124
5,Artificial_appearing-minority_3_appearing-minoritysudden_aobhs_uob.csv,14749,76007,8944,300,0.6225,0.9801,0.7614,0.9801,0.8947,0.9364
5,Artificial_appearing-minority_4_appearing-minorityincremental_aobhs_uob.csv,19593,73439,6596,372,0.7481,0.9814,0.849,0.9814,0.9176,0.9489
5,Artificial_appearing-minority_4_appearing-minorityperiodic_aobhs_uob.csv,1857,88461,9542,140,0.1629,0.9299,0.2772,0.9299,0.9026,0.9162
5,Artificial_appearing-minority_4_appearing-minoritysudden_aobhs_uob.csv,19630,72018,7926,426,0.7124,0.9788,0.8246,0.9788,0.9009,0.939
5,Artificial_borderline_1_borderlineincremental_aobhs_uob.csv,9513,71091,18922,474,0.3346,0.9525,0.4952,0.9525,0.7898,0.8674
5,Artificial_borderline_1_borderlineperiodic_aobhs_uob.csv,9706,72085,17797,412,0.3529,0.9593,0.516,0.9593,0.802,0.8771
5,Artificial_borderline_1_borderlinesudden_aobhs_uob.csv,9559,70815,19218,408,0.3322,0.9591,0.4934,0.9591,0.7865,0.8685
5,Artificial_borderline_2_borderlineincremental_aobhs_uob.csv,19743,60320,19599,338,0.5018,0.9832,0.6645,0.9832,0.7548,0.8614
5,Artificial_borderline_2_borderlineperiodic_aobhs_uob.csv,19651,61520,18486,343,0.5153,0.9828,0.6761,0.9828,0.7689,0.8693
5,Artificial_borderline_2_borderlinesudden_aobhs_uob.csv,19576,60440,19596,388,0.4997,0.9806,0.6621,0.9806,0.7552,0.8605
5,Artificial_borderline_3_borderlineincremental_aobhs_uob.csv,29645,51771,18219,365,0.6194,0.9878,0.7614,0.9878,0.7397,0.8548
5,Artificial_borderline_3_borderlineperiodic_aobhs_uob.csv,29692,53099,16958,251,0.6365,0.9916,0.7753,0.9916,0.7579,0.8669
5,Artificial_borderline_3_borderlinesudden_aobhs_uob.csv,29612,52011,18070,307,0.621,0.9897,0.7632,0.9897,0.7422,0.8571
5,Artificial_borderline_4_borderlineincremental_aobhs_uob.csv,39392,45210,14900,498,0.7256,0.9875,0.8365,0.9875,0.7521,0.8618
5,Artificial_borderline_4_borderlineperiodic_aobhs_uob.csv,39561,45841,14241,357,0.7353,0.9911,0.8442,0.9911,0.763,0.8696
5,Artificial_borderline_4_borderlinesudden_aobhs_uob.csv,39539,44318,15686,457,0.716,0.9886,0.8305,0.9886,0.7386,0.8545
5,Artificial_clusters-movement_1_clusters-movementincremental_aobhs_uob.csv,7689,71341,18725,2245,0.2911,0.774,0.4231,0.774,0.7921,0.783
5,Artificial_clusters-movement_1_clusters-movementperiodic_aobhs_uob.csv,9034,71513,18617,836,0.3267,0.9153,0.4815,0.9153,0.7934,0.8522
5,Artificial_clusters-movement_1_clusters-movementsudden_aobhs_uob.csv,7509,68615,21442,2434,0.2594,0.7552,0.3861,0.7552,0.7619,0.7585
5,Artificial_clusters-movement_2_clusters-movementincremental_aobhs_uob.csv,18105,57798,22162,1935,0.4496,0.9034,0.6004,0.9034,0.7228,0.8081
5,Artificial_clusters-movement_2_clusters-movementperiodic_aobhs_uob.csv,19060,59122,20873,945,0.4773,0.9528,0.636,0.9528,0.7391,0.8391
5,Artificial_clusters-movement_2_clusters-movementsudden_aobhs_uob.csv,17708,56421,23576,2295,0.4289,0.8853,0.5779,0.8853,0.7053,0.7902
5,Artificial_clusters-movement_3_clusters-movementincremental_aobhs_uob.csv,27711,47292,22733,2264,0.5493,0.9245,0.6892,0.9245,0.6754,0.7902
5,Artificial_clusters-movement_3_clusters-movementperiodic_aobhs_uob.csv,29054,51586,18406,954,0.6122,0.9682,0.7501,0.9682,0.737,0.8447
5,Artificial_clusters-movement_3_clusters-movementsudden_aobhs_uob.csv,27749,46299,23743,2209,0.5389,0.9263,0.6814,0.9263,0.661,0.7825
5,Artificial_clusters-movement_4_clusters-movementincremental_aobhs_uob.csv,36915,41603,18423,3059,0.6671,0.9235,0.7746,0.9235,0.6931,0.8
5,Artificial_clusters-movement_4_clusters-movementperiodic_aobhs_uob.csv,38808,44944,15139,1109,0.7194,0.9722,0.8269,0.9722,0.748,0.8528
5,Artificial_clusters-movement_4_clusters-movementsudden_aobhs_uob.csv,36150,38325,21732,3793,0.6245,0.905,0.7391,0.905,0.6381,0.76
5,Artificial_disappearing-minority_1_disappearing-minorityincremental_aobhs_uob.csv,4723,76725,18259,293,0.2055,0.9416,0.3374,0.9416,0.8078,0.8721
5,Artificial_disappearing-minority_1_disappearing-minorityperiodic_aobhs_uob.csv,8737,72787,17860,616,0.3285,0.9341,0.4861,0.9341,0.803,0.8661
5,Artificial_disappearing-minority_1_disappearing-minoritysudden_aobhs_uob.csv,4765,73257,21725,253,0.1799,0.9496,0.3025,0.9496,0.7713,0.8558
5,Artificial_disappearing-minority_2_disappearing-minorityincremental_aobhs_uob.csv,9657,72256,17699,388,0.353,0.9614,0.5164,0.9614,0.8032,0.8788
5,Artificial_disappearing-minority_2_disappearing-minorityperiodic_aobhs_uob.csv,18508,62267,18716,509,0.4972,0.9732,0.6582,0.9732,0.7689,0.865
5,Artificial_disappearing-minority_2_disappearing-minoritysudden_aobhs_uob.csv,9715,65623,24335,327,0.2853,0.9674,0.4407,0.9674,0.7295,0.8401
5,Artificial_disappearing-minority_3_disappearing-minorityincremental_aobhs_uob.csv,14669,66860,18197,274,0.4463,0.9817,0.6137,0.9817,0.7861,0.8784
5,Artificial_disappearing-minority_3_disappearing-minorityperiodic_aobhs_uob.csv,28063,53829,17683,425,0.6135,0.9851,0.7561,0.9851,0.7527,0.8611
5,Artificial_disappearing-minority_3_disappearing-minoritysudden_aobhs_uob.csv,14766,61190,23812,232,0.3828,0.9845,0.5512,0.9845,0.7199,0.8419
5,Artificial_disappearing-minority_4_disappearing-minorityincremental_aobhs_uob.csv,19629,62978,17059,334,0.535,0.9833,0.693,0.9833,0.7869,0.8796
5,Artificial_disappearing-minority_4_disappearing-minorityperiodic_aobhs_uob.csv,37260,47865,14300,575,0.7227,0.9848,0.8336,0.9848,0.77,0.8708
5,Artificial_disappearing-minority_4_disappearing-minoritysudden_aobhs_uob.csv,19624,55531,24504,341,0.4447,0.9829,0.6124,0.9829,0.6938,0.8258
5,Artificial_jitter_1_jitterincremental_aobhs_uob.csv,9417,71868,18193,522,0.3411,0.9475,0.5016,0.9475,0.798,0.8695
5,Artificial_jitter_1_jitterperiodic_aobhs_uob.csv,9312,71167,18894,627,0.3301,0.9369,0.4882,0.9369,0.7902,0.8604
5,Artificial_jitter_1_jittersudden_aobhs_uob.csv,9371,71780,18281,568,0.3389,0.9429,0.4986,0.9429,0.797,0.8669
5,Artificial_jitter_2_jitterincremental_aobhs_uob.csv,19379,59796,20242,583,0.4891,0.9708,0.6505,0.9708,0.7471,0.8516
