filename,File Name,,,,,Cost,Runtime
1,Artificial,appearing-minority,3,appearing-minorityperiodic,ROSE.csv,123965,8.59375
1,Artificial,appearing-minority,3,appearing-minorityperiodic,SGBT.csv,169665,99.359375
1,Artificial,appearing-minority,3,appearing-minorityperiodic,UOB.csv,98175,3.953125
1,Artificial,appearing-minority,3,appearing-minoritysudden,ARF-Re.csv,94775,8.78125
1,Artificial,appearing-minority,3,appearing-minoritysudden,ARF.csv,258095,10.953125
1,Artificial,appearing-minority,3,appearing-minoritysudden,CALMID.csv,203241,6.421875
1,Artificial,appearing-minority,3,appearing-minoritysudden,CSMOTE.csv,205206,180.015625
1,Artificial,appearing-minority,3,appearing-minoritysudden,EFDT.csv,1584671,2.0625
1,Artificial,appearing-minority,3,appearing-minoritysudden,MICFOAL.csv,388502,2.5625
1,Artificial,appearing-minority,3,appearing-minoritysudden,OOB.csv,116534,4.71875
1,Artificial,appearing-minority,3,appearing-minoritysudden,ROSE.csv,119745,8.828125
1,Artificial,appearing-minority,3,appearing-minoritysudden,SGBT.csv,546520,98.75
1,Artificial,appearing-minority,3,appearing-minoritysudden,UOB.csv,121533,4.359375
1,Artificial,appearing-minority,4,appearing-minorityincremental,ARF-Re.csv,100251,9.96875
1,Artificial,appearing-minority,4,appearing-minorityincremental,ARF.csv,220926,12.09375
1,Artificial,appearing-minority,4,appearing-minorityincremental,CALMID.csv,242914,6.84375
1,Artificial,appearing-minority,4,appearing-minorityincremental,CSMOTE.csv,263721,112.390625
1,Artificial,appearing-minority,4,appearing-minorityincremental,EFDT.csv,2047796,2.046875
1,Artificial,appearing-minority,4,appearing-minorityincremental,MICFOAL.csv,375508,2.328125
1,Artificial,appearing-minority,4,appearing-minorityincremental,OOB.csv,155052,4.671875
1,Artificial,appearing-minority,4,appearing-minorityincremental,ROSE.csv,139940,9.375
1,Artificial,appearing-minority,4,appearing-minorityincremental,SGBT.csv,338094,101.046875
1,Artificial,appearing-minority,4,appearing-minorityincremental,UOB.csv,107938,5
1,Artificial,appearing-minority,4,appearing-minorityperiodic,ARF-Re.csv,99869,8.3125
1,Artificial,appearing-minority,4,appearing-minorityperiodic,ARF.csv,140675,8.375
1,Artificial,appearing-minority,4,appearing-minorityperiodic,CALMID.csv,142018,5.46875
1,Artificial,appearing-minority,4,appearing-minorityperiodic,CSMOTE.csv,124846,4.4375
